time,batVoltage,batCurrent,solarVoltage,solarCurrent,loadVoltage,loadCurrent
14:37:20.307,3905.00,1.25,0.00,1.25,0.00,-1.25
14:37:20.561,3903.75,1.25,1.25,-1.25,2.50,0.00
14:37:20.816,3905.00,0.00,0.00,0.00,1.25,0.00
14:37:21.071,3905.00,0.00,1.25,-1.25,0.00,0.00
14:37:21.325,3905.00,1.25,0.00,0.00,0.00,0.00
14:37:21.580,3905.00,-1.25,0.00,0.00,1.25,1.25
14:37:21.846,3905.00,-1.25,0.00,0.00,1.25,1.25
14:37:22.213,3903.75,-1.25,1.25,1.25,1.25,0.00
14:37:22.344,3905.00,0.00,0.00,0.00,1.25,0.00
14:37:22.599,3906.25,0.00,0.00,-1.25,1.25,-1.25
14:37:22.854,3905.00,0.00,1.25,-1.25,1.25,0.00
14:37:23.217,3905.00,-1.25,1.25,-1.25,0.00,1.25
14:37:23.363,3905.00,-1.25,0.00,0.00,0.00,0.00
14:37:23.618,3905.00,-1.25,1.25,-1.25,1.25,-1.25
14:37:23.873,3903.75,-1.25,0.00,-1.25,1.25,0.00
14:37:24.219,3903.75,0.00,1.25,0.00,1.25,0.00
14:37:24.382,3906.25,0.00,1.25,-1.25,1.25,0.00
14:37:24.650,3905.00,1.25,1.25,-1.25,0.00,0.00
14:37:24.892,3906.25,-2.50,1.25,0.00,0.00,0.00
14:37:25.219,3905.00,0.00,0.00,0.00,1.25,-1.25
14:37:25.401,3905.00,-1.25,2.50,0.00,1.25,1.25
14:37:25.656,3905.00,1.25,1.25,0.00,1.25,0.00
14:37:25.910,3906.25,-1.25,0.00,-1.25,0.00,0.00
14:37:26.210,3906.25,1.25,0.00,-1.25,1.25,0.00
14:37:26.440,3905.00,0.00,1.25,0.00,2.50,0.00
14:37:26.675,3905.00,0.00,1.25,0.00,2.50,0.00
14:37:26.929,3905.00,0.00,1.25,0.00,2.50,0.00
14:37:27.184,3905.00,-1.25,1.25,1.25,2.50,0.00
14:37:27.444,3906.25,0.00,1.25,1.25,1.25,1.25
14:37:27.694,3900.00,-1.25,1.25,0.00,3261.25,0.00
14:37:27.948,3873.75,1.25,1.25,0.00,3240.00,-1.25
14:37:28.203,3873.75,-1.25,1.25,0.00,3238.75,0.00
14:37:28.462,3895.00,0.00,1.25,-1.25,3262.50,0.00
14:37:28.713,3896.25,0.00,1.25,0.00,3260.00,-1.25
14:37:28.967,3895.00,-1.25,0.00,-1.25,3261.25,0.00
14:37:29.222,3893.75,-1.25,1.25,0.00,3261.25,0.00
14:37:29.477,3895.00,-1.25,1.25,-1.25,3263.75,0.00
14:37:29.732,3895.00,0.00,1.25,-2.50,3262.50,-1.25
14:37:29.987,3895.00,0.00,0.00,0.00,3261.25,0.00
14:37:30.254,3895.00,0.00,0.00,-2.50,3260.00,-1.25
14:37:30.497,3872.50,0.00,1.25,0.00,3238.75,-1.25
14:37:30.751,3895.00,-1.25,1.25,0.00,3260.00,1.25
14:37:31.006,3893.75,-1.25,0.00,-1.25,3261.25,0.00
14:37:31.261,3895.00,0.00,1.25,0.00,3261.25,0.00
14:37:31.516,3895.00,0.00,0.00,0.00,3261.25,1.25
14:37:31.770,3895.00,0.00,0.00,0.00,3263.75,-1.25
14:37:32.045,3892.50,1.25,1.25,-1.25,3262.50,0.00
14:37:32.280,3893.75,1.25,0.00,-1.25,3263.75,0.00
14:37:32.535,3893.75,0.00,0.00,-1.25,3262.50,1.25
14:37:32.790,3873.75,0.00,1.25,0.00,3238.75,1.25
14:37:33.044,3872.50,0.00,1.25,1.25,3237.50,0.00
14:37:33.299,3892.50,0.00,0.00,0.00,3262.50,-1.25
14:37:33.554,3893.75,0.00,1.25,0.00,3263.75,0.00
14:37:33.809,3895.00,0.00,1.25,0.00,3261.25,0.00
14:37:34.063,3893.75,0.00,1.25,0.00,3261.25,0.00
14:37:34.318,3893.75,-1.25,1.25,0.00,3261.25,0.00
14:37:34.573,3893.75,0.00,1.25,-1.25,3262.50,0.00
14:37:34.843,3893.75,0.00,0.00,1.25,3262.50,0.00
14:37:35.082,3893.75,0.00,0.00,1.25,3263.75,0.00
14:37:35.337,3870.00,-1.25,1.25,0.00,3237.50,-2.50
14:37:35.592,3892.50,-1.25,0.00,-1.25,3262.50,0.00
14:37:35.847,3893.75,0.00,0.00,0.00,3261.25,0.00
14:37:36.174,3892.50,0.00,1.25,-1.25,3262.50,0.00
14:37:36.356,3892.50,0.00,0.00,-1.25,3261.25,0.00
14:37:36.611,3892.50,-1.25,1.25,-1.25,3263.75,0.00
14:37:36.866,3892.50,0.00,0.00,1.25,3262.50,0.00
14:37:37.213,3892.50,-1.25,1.25,0.00,3263.75,0.00
14:37:37.375,3892.50,1.25,0.00,0.00,3262.50,0.00
14:37:37.653,3870.00,-1.25,0.00,-1.25,3237.50,0.00
14:37:37.885,3870.00,-1.25,1.25,0.00,3238.75,0.00
14:37:38.216,3892.50,0.00,1.25,-1.25,3261.25,0.00
14:37:38.395,3891.25,-1.25,0.00,1.25,3260.00,-1.25
14:37:38.653,3892.50,0.00,0.00,0.00,3262.50,0.00
14:37:38.904,3892.50,0.00,1.25,-2.50,3262.50,0.00
14:37:39.214,3892.50,0.00,0.00,-2.50,3263.75,-1.25
14:37:39.414,3892.50,1.25,1.25,0.00,3262.50,0.00
14:37:39.668,3892.50,0.00,1.25,-1.25,3261.25,0.00
14:37:39.923,3891.25,1.25,1.25,0.00,3261.25,0.00
14:37:40.212,3870.00,0.00,1.25,0.00,3237.50,1.25
14:37:40.442,3891.25,0.00,1.25,1.25,3262.50,0.00
14:37:40.688,3891.25,0.00,0.00,0.00,3262.50,-1.25
14:37:40.942,3891.25,-1.25,1.25,-1.25,3261.25,1.25
14:37:41.213,3891.25,-2.50,2.50,-1.25,3260.00,1.25
14:37:41.452,3891.25,-1.25,1.25,0.00,3260.00,0.00
14:37:41.707,3892.50,1.25,1.25,-1.25,3262.50,0.00
14:37:41.962,3891.25,-2.50,1.25,0.00,3262.50,1.25
14:37:42.217,3891.25,-1.25,1.25,1.25,3262.50,0.00
14:37:42.472,3868.75,1.25,1.25,0.00,3237.50,1.25
14:37:42.726,3868.75,-1.25,1.25,0.00,3238.75,-1.25
14:37:42.981,3892.50,0.00,0.00,0.00,3263.75,0.00
14:37:43.246,3890.00,0.00,1.25,0.00,3261.25,0.00
14:37:43.491,3891.25,0.00,1.25,-2.50,3261.25,1.25
14:37:43.745,3891.25,1.25,1.25,0.00,3261.25,0.00
14:37:44.000,3891.25,0.00,1.25,0.00,3263.75,0.00
14:37:44.255,3891.25,-1.25,1.25,0.00,3262.50,1.25
14:37:44.510,3890.00,0.00,1.25,-1.25,3261.25,0.00
14:37:44.764,3870.00,-1.25,0.00,0.00,3240.00,0.00
14:37:45.048,3868.75,1.25,0.00,0.00,3237.50,1.25
14:37:45.274,3890.00,1.25,1.25,0.00,3262.50,0.00
14:37:45.529,3888.75,0.00,1.25,0.00,3262.50,0.00
14:37:45.784,3890.00,0.00,1.25,0.00,3262.50,-2.50
14:37:46.042,3890.00,-1.25,0.00,0.00,3261.25,0.00
14:37:46.293,3890.00,-1.25,0.00,0.00,3261.25,0.00
14:37:46.548,3891.25,0.00,0.00,-1.25,3261.25,0.00
14:37:46.803,3890.00,0.00,0.00,1.25,3262.50,0.00
14:37:47.057,3890.00,-1.25,0.00,0.00,3261.25,-1.25
14:37:47.312,3868.75,0.00,0.00,0.00,3238.75,0.00
14:37:47.567,3867.50,0.00,1.25,0.00,3258.75,0.00
14:37:47.822,3888.75,-1.25,0.00,0.00,3262.50,1.25
14:37:48.076,3888.75,0.00,0.00,1.25,3262.50,0.00
14:37:48.331,3888.75,-1.25,2.50,0.00,3262.50,0.00
14:37:48.586,3890.00,-1.25,0.00,1.25,3261.25,1.25
14:37:48.841,3888.75,1.25,0.00,0.00,3262.50,-1.25
14:37:49.215,3888.75,0.00,0.00,0.00,3262.50,-1.25
14:37:49.350,3888.75,0.00,0.00,0.00,3261.25,0.00
14:37:49.605,3868.75,-2.50,0.00,0.00,3238.75,0.00
14:37:49.860,3868.75,1.25,1.25,0.00,3236.25,1.25
14:37:50.161,3887.50,0.00,1.25,0.00,3261.25,0.00
14:37:50.369,3887.50,0.00,1.25,-1.25,3261.25,-1.25
14:37:50.643,3888.75,0.00,1.25,0.00,3261.25,1.25
14:37:50.879,3887.50,0.00,0.00,0.00,3261.25,1.25
