11:00:08.825 -> Latitude_deg,Longitude_deg,GPS_altitude_MSL_m,Environmental_altitude_m,Linear_acceleration_X_m_s2,Linear_acceleration_Y_m_s2,Linear_acceleration_Z_m_s2,Gyroscope_X_deg_s,Gyroscope_Y_deg_s,Gyroscope_Z_deg_s,Magnetometer_X_uT,Magnetometer_Y_uT,Magnetometer_Z_uT,Quaternion_I,Quaternion_J,Quaternion_K,Quaternion_Real,Temperature_degC,Pressure_hPa,Humidity_percentRH,Packet_counter,CSID,Cell_percentage_percent,Sensor_validity_bitmask,Linear_acceleration_valid,Gyroscope_valid,Magnetometer_valid,Quaternion_valid,GPS_valid,State_of_charge_valid,Environmental_valid,All_data_fresh,Received_CRC16_decimal,RSSI_dBm,SNR_dB
11:45:36.468 -> 0.0000000,0.0000000,-17.000,170.79,0.00,0.02,0.00,0.0,0.0,0.0,-7.3,7.7,-116.3,0.07892,0.10059,-0.65447,0.74517,24.32,992.9,39.07,217,6,43.0,111,1,1,1,1,0,1,1,0,49169,-51.0,13.0
11:46:08.968 -> 0.0000000,0.0000000,-17.000,177.83,0.01,0.01,-0.03,-0.1,0.2,0.0,0.6,16.8,-39.6,0.00012,0.01801,-0.01233,0.99976,27.21,992.1,29.91,137,4,56.0,111,1,1,1,1,0,1,1,0,44626,-70.0,10.0
11:46:38.469 -> 0.0000000,0.0000000,-17.000,170.40,0.00,-0.02,0.00,0.0,-0.1,0.1,-7.3,6.6,-113.9,0.08039,0.09943,-0.66369,0.73699,24.34,992.9,39.05,218,6,43.0,111,1,1,1,1,0,1,1,0,27300,-52.0,13.0
11:46:40.959 -> 0.0000000,0.0000000,-17.000,177.66,0.01,-0.04,0.00,0.0,0.0,0.0,1.9,16.6,-39.8,0.00018,0.01794,-0.01715,0.99969,27.21,992.1,29.85,138,4,55.5,111,1,1,1,1,0,1,1,0,29214,-70.0,10.0
11:47:12.964 -> 0.0000000,0.0000000,-17.000,177.77,0.01,0.01,-0.03,0.0,0.0,0.0,0.3,15.7,-40.0,0.00000,0.01794,-0.01587,0.99969,27.18,992.1,29.86,139,4,55.5,111,1,1,1,1,0,1,1,0,7519,-70.0,10.0
11:47:39.472 -> 0.0000000,0.0000000,-17.000,170.53,-0.01,-0.02,0.01,0.2,0.0,0.0,-7.3,6.9,-115.1,0.07971,0.10022,-0.65758,0.74242,24.30,992.9,39.05,219,6,42.0,111,1,1,1,1,0,1,1,0,21966,-52.0,13.5
11:47:43.960 -> 0.0000000,0.0000000,-17.000,177.70,0.00,0.01,-0.03,0.2,0.1,0.0,-0.1,15.7,-39.6,0.00000,0.01758,-0.01581,0.99969,27.18,992.1,29.86,140,4,55.0,111,1,1,1,1,0,1,1,0,38476,-70.0,11.3
11:48:15.963 -> 0.0000000,0.0000000,-17.000,177.88,0.00,0.01,0.02,0.0,0.0,0.0,1.4,16.7,-39.9,-0.00012,0.01758,-0.00830,0.99982,27.18,992.1,29.82,141,4,55.0,111,1,1,1,1,0,1,1,0,41596,-70.0,9.8
11:48:41.465 -> 0.0000000,0.0000000,-17.000,170.30,0.00,-0.02,0.00,0.0,-0.1,-0.1,-7.3,6.2,-115.1,0.07910,0.10108,-0.65307,0.74633,24.32,993.0,39.04,220,6,41.5,111,1,1,1,1,0,1,1,0,22375,-51.0,13.3
11:48:47.960 -> 0.0000000,0.0000000,-17.000,177.89,0.00,0.01,-0.02,0.0,0.0,0.0,1.9,15.1,-38.9,-0.00006,0.01770,-0.01166,0.99976,27.19,992.1,29.78,142,4,54.5,111,1,1,1,1,0,1,1,0,9027,-69.0,10.5
11:49:19.960 -> 0.0000000,0.0000000,-17.000,177.86,0.00,-0.03,0.00,0.0,0.0,0.0,-1.0,16.5,-41.4,-0.00037,0.01770,-0.00702,0.99982,27.16,992.1,29.88,143,4,54.5,111,1,1,1,1,0,1,1,0,14655,-70.0,10.8
11:49:43.465 -> 0.0000000,0.0000000,-17.000,170.58,-0.01,0.03,0.00,-0.1,-0.1,-0.1,-6.2,6.9,-113.9,0.07678,0.10218,-0.63799,0.75933,24.30,992.9,39.04,221,6,41.0,111,1,1,1,1,0,1,1,0,7963,-51.0,13.3
11:49:51.967 -> 0.0000000,0.0000000,-17.000,177.70,0.00,0.00,0.01,0.0,0.0,0.0,1.9,14.9,-38.8,-0.00018,0.01770,-0.00678,0.99982,27.16,992.1,29.82,144,4,54.0,111,1,1,1,1,0,1,1,0,11968,-70.0,10.5
11:50:23.964 -> 0.0000000,0.0000000,-17.000,177.67,0.00,0.01,0.01,0.0,0.0,0.0,1.7,16.3,-39.0,-0.00012,0.01770,-0.00690,0.99982,27.15,992.1,29.88,145,4,54.0,111,1,1,1,1,0,1,1,0,5926,-70.0,10.5
11:50:45.466 -> 0.0000000,0.0000000,-17.000,170.16,-0.01,0.02,0.00,-0.2,0.0,-0.1,-6.9,7.3,-115.4,0.07947,0.10010,-0.65758,0.74248,24.28,993.0,39.02,222,6,40.0,111,1,1,1,1,0,1,1,0,12423,-52.0,13.3
11:50:55.961 -> 0.0000000,0.0000000,-17.000,177.69,0.00,0.00,0.01,0.0,0.0,0.0,-0.4,16.1,-40.9,0.00000,0.01770,-0.01538,0.99976,27.15,992.1,29.84,146,4,54.0,111,1,1,1,1,0,1,1,0,58332,-70.0,10.3
11:51:27.962 -> 0.0000000,0.0000000,-17.000,177.76,0.00,0.00,0.01,0.0,0.2,0.0,1.3,15.9,-40.9,0.00018,0.01764,-0.01343,0.99976,27.16,992.1,29.78,147,4,53.5,111,1,1,1,1,0,1,1,0,18287,-70.0,9.5
11:51:46.469 -> 0.0000000,0.0000000,-17.000,170.44,0.00,0.01,0.00,0.0,0.0,0.0,-5.1,6.6,-113.5,0.07837,0.10126,-0.64653,0.75207,24.29,992.9,38.94,223,6,39.5,111,1,1,1,1,0,1,1,0,655,-52.0,12.8
11:51:59.967 -> 0.0000000,0.0000000,-17.000,177.71,0.01,-0.04,0.02,0.0,0.0,0.0,1.3,15.0,-39.8,0.00000,0.01794,-0.00836,0.99982,27.18,992.1,29.80,148,4,53.0,111,1,1,1,1,0,1,1,0,3612,-69.0,9.8
11:52:31.959 -> 0.0000000,0.0000000,-17.000,177.49,0.00,0.00,-0.03,0.0,0.0,0.0,0.3,15.9,-40.0,0.00018,0.01770,-0.01343,0.99976,27.18,992.1,29.75,149,4,53.0,111,1,1,1,1,0,1,1,0,3831,-70.0,10.3
