16:38:07.440 -> Latitude_deg,Longitude_deg,GPS_altitude_MSL_m,Environmental_altitude_m,Linear_acceleration_X_m_s2,Linear_acceleration_Y_m_s2,Linear_acceleration_Z_m_s2,Gyroscope_X_deg_s,Gyroscope_Y_deg_s,Gyroscope_Z_deg_s,Magnetometer_X_uT,Magnetometer_Y_uT,Magnetometer_Z_uT,Quaternion_I,Quaternion_J,Quaternion_K,Quaternion_Real,Temperature_degC,Pressure_hPa,Humidity_percentRH,Packet_counter,CSID,Cell_percentage_percent,Sensor_validity_bitmask,Linear_acceleration_valid,Gyroscope_valid,Magnetometer_valid,Quaternion_valid,GPS_valid,State_of_charge_valid,Environmental_valid,All_data_fresh,Received_CRC16_decimal,RSSI_dBm,SNR_dB
17:16:43.841 -> 0.0000000,0.0000000,-17.000,244.74,0.01,-0.02,0.00,0.0,0.0,0.0,-512.0,92.8,512.0,0.01080,0.01752,-0.97949,0.20051,46.96,984.2,12.57,19,7,63.0,111,1,1,1,1,0,1,1,0,14597,-58.0,12.8
17:17:15.039 -> 0.0000000,0.0000000,-17.000,244.99,0.01,0.02,-0.01,0.0,0.0,0.0,-512.0,93.1,512.0,0.01093,0.01788,-0.97925,0.20173,46.85,984.2,12.78,20,7,63.0,111,1,1,1,1,0,1,1,0,51314,-58.0,12.5
17:17:23.958 -> 0.0000000,0.0000000,-17.000,239.27,-0.02,0.00,0.01,0.0,0.0,0.0,76.7,239.9,-512.0,0.01715,0.02100,0.98395,0.17634,27.82,984.8,40.30,128,2,40.5,111,1,1,1,1,0,1,1,0,29612,-73.0,13.0
17:17:45.798 -> 0.0000000,0.0000000,-17.000,244.42,-0.02,-0.02,0.00,0.0,0.0,0.0,-512.0,93.2,512.0,0.01111,0.01782,-0.97931,0.20118,47.15,984.2,12.52,21,7,63.5,111,1,1,1,1,0,1,1,0,40603,-57.0,13.0
17:18:17.016 -> 0.0000000,0.0000000,-17.000,244.72,-0.01,0.02,-0.01,0.0,0.0,0.0,-512.0,94.9,512.0,0.01154,0.01782,-0.97919,0.20191,46.79,984.2,12.77,22,7,63.5,111,1,1,1,1,0,1,1,0,28287,-57.0,12.8
17:18:25.017 -> 0.0000000,0.0000000,-17.000,239.18,-0.02,0.00,0.00,0.0,0.0,0.0,76.4,240.6,-512.0,0.01672,0.02124,0.98498,0.17048,27.87,984.9,40.42,129,2,40.0,111,1,1,1,1,0,1,1,0,49532,-73.0,13.0
17:18:51.824 -> 0.0000000,0.0000000,-17.000,245.12,-0.02,0.00,-0.01,0.0,0.0,0.0,-512.0,93.6,512.0,0.01154,0.01782,-0.97919,0.20191,47.30,984.2,12.46,23,7,63.5,111,1,1,1,1,0,1,1,0,149,-58.0,12.3
17:19:25.979 -> LoRa PHY CRC error: corrupted packet discarded.
17:19:57.815 -> 0.0000000,0.0000000,-17.000,244.51,0.00,-0.02,-0.01,0.0,0.0,0.0,-512.0,92.2,512.0,0.01056,0.01776,-0.97894,0.20319,47.63,984.2,12.25,25,7,63.5,111,1,1,1,1,0,1,1,0,51861,-58.0,12.5
17:20:27.042 -> 0.0000000,0.0000000,-17.000,238.94,0.01,0.00,0.00,0.0,0.0,0.0,77.1,241.1,-512.0,0.01740,0.02094,0.98352,0.17859,28.03,984.9,40.34,131,2,39.5,111,1,1,1,1,0,1,1,0,15800,-73.0,13.0
