Latitude_deg,Longitude_deg,GPS_altitude_MSL_m,Environmental_altitude_m,Linear_acceleration_X_m_s2,Linear_acceleration_Y_m_s2,Linear_acceleration_Z_m_s2,Gyroscope_X_deg_s,Gyroscope_Y_deg_s,Gyroscope_Z_deg_s,Magnetometer_X_uT,Magnetometer_Y_uT,Magnetometer_Z_uT,Quaternion_I,Quaternion_J,Quaternion_K,Quaternion_Real,Temperature_degC,Pressure_hPa,Humidity_percentRH,Packet_counter,CSID,Cell_percentage_percent,Sensor_validity_bitmask,Linear_acceleration_valid,Gyroscope_valid,Magnetometer_valid,Quaternion_valid,GPS_valid,State_of_charge_valid,Environmental_valid,All_data_fresh,Received_CRC16_decimal,RSSI_dBm,SNR_dB
21:10:12.526 -> 0.0000000,0.0000000,-17.000,260.74,0.02,0.00,0.00,0.0,0.0,0.0,39.2,-30.2,-97.5,-0.01459,-0.00208,0.90246,0.43056,28.00,982.3,38.59,12,5,84.0,111,1,1,1,1,0,1,1,0,29089,-54.0,10.3
21:10:22.542 -> 0.0000000,0.0000000,-17.000,260.97,-0.03,0.00,0.00,0.2,0.0,0.0,39.5,-27.6,-97.1,-0.01489,-0.00146,0.89434,0.44710,27.95,982.3,38.69,13,5,84.0,111,1,1,1,1,0,1,1,0,41969,-55.0,9.8
21:10:32.558 -> 0.0000000,0.0000000,-17.000,261.00,0.02,0.00,0.00,0.2,-0.1,0.1,39.5,-27.9,-98.6,-0.01447,-0.00226,0.90802,0.41865,27.91,982.3,38.81,14,5,84.0,111,1,1,1,1,0,1,1,0,46436,-55.0,9.8
21:10:42.616 -> 0.0000000,0.0000000,-17.000,260.98,0.00,0.00,0.00,-0.1,0.0,-0.1,40.3,-29.1,-97.4,-0.01459,-0.00214,0.90802,0.41865,27.88,982.3,38.86,15,5,84.0,111,1,1,1,1,0,1,1,0,51543,-56.0,9.8
21:10:52.614 -> 0.0000000,0.0000000,-17.000,260.89,-0.04,0.00,0.00,-0.1,0.0,0.0,39.5,-28.7,-97.8,-0.01465,-0.00189,0.90191,0.43171,27.84,982.3,38.92,16,5,84.0,111,1,1,1,1,0,1,1,0,34308,-56.0,10.0
21:11:03.614 -> 0.0000000,0.0000000,-17.000,261.07,-0.03,0.00,0.00,0.0,0.0,0.0,39.5,-29.4,-98.2,-0.01477,-0.00220,0.90838,0.41786,27.81,982.3,38.97,17,5,84.0,111,1,1,1,1,0,1,1,0,3406,-55.0,10.0
21:11:13.625 -> 0.0000000,0.0000000,-17.000,261.03,-0.02,0.00,0.00,0.0,0.0,0.0,39.1,-29.1,-96.9,-0.01514,-0.00159,0.89752,0.44075,27.78,982.3,39.03,18,5,84.0,111,1,1,1,1,0,1,1,0,62657,-55.0,9.8
21:11:23.640 -> 0.0000000,0.0000000,-17.000,261.12,0.00,0.00,0.00,0.2,0.0,0.1,39.5,-28.7,-96.9,-0.01532,-0.00159,0.90124,0.43312,27.76,982.3,39.10,19,5,84.0,111,1,1,1,1,0,1,1,0,48998,-55.0,9.8
21:11:33.656 -> 0.0000000,0.0000000,-17.000,260.91,-0.02,0.00,0.00,0.0,0.0,0.0,39.9,-29.1,-97.8,-0.01434,-0.00208,0.90191,0.43171,27.75,982.3,39.11,20,5,84.0,111,1,1,1,1,0,1,1,0,38210,-55.0,10.0
21:11:43.672 -> 0.0000000,0.0000000,-17.000,261.05,-0.02,0.00,0.00,0.4,0.0,0.0,39.9,-27.9,-97.8,-0.01544,-0.00153,0.90216,0.43117,27.69,982.3,39.19,21,5,84.0,111,1,1,1,1,0,1,1,0,49254,-55.0,9.5
21:11:54.692 -> LoRa PHY CRC error: corrupted packet discarded.
21:12:08.362 -> 0.0000000,0.0000000,-17.000,260.63,0.03,0.01,0.00,-0.1,-0.1,0.0,40.3,-29.4,-97.1,-0.01544,-0.00128,0.88586,0.46376,27.57,982.3,39.40,0,5,81.0,111,1,1,1,1,0,1,1,0,13880,-55.0,10.0
21:12:21.379 -> 0.0000000,0.0000000,-17.000,260.61,0.00,0.00,0.00,0.0,0.0,0.0,38.8,-28.7,-97.3,-0.01544,-0.00128,0.88586,0.46376,27.52,982.3,39.52,1,5,81.0,111,1,1,1,1,0,1,1,0,10911,-55.0,9.5
21:12:31.398 -> 0.0000000,0.0000000,-17.000,260.57,-0.02,0.00,0.00,0.0,0.0,0.0,40.3,-29.8,-98.0,-0.01587,-0.00122,0.89831,0.43904,27.50,982.3,39.58,2,5,81.0,111,1,1,1,1,0,1,1,0,15066,-55.0,10.5
21:12:41.417 -> 0.0000000,0.0000000,-17.000,260.76,0.00,0.00,0.00,0.1,0.3,0.1,39.9,-30.6,-97.2,-0.01556,-0.00128,0.89453,0.44679,27.48,982.3,39.63,3,5,81.0,111,1,1,1,1,0,1,1,0,41402,-55.0,9.8
21:12:51.437 -> 0.0000000,0.0000000,-17.000,260.78,0.00,0.09,-0.17,9.6,14.4,-1.8,1.8,-48.1,-56.3,0.03735,-0.26734,-0.96057,0.06659,28.74,982.3,53.33,4,5,81.0,111,1,1,1,1,0,1,1,0,36564,-62.0,13.0
21:14:27.366 -> 0.0000000,0.0000000,-17.000,262.27,0.00,0.04,0.00,0.1,0.0,0.0,-3.3,19.1,-67.3,-0.00757,0.00433,-0.03510,0.99933,27.69,982.1,40.43,0,6,63.0,111,1,1,1,1,0,1,1,0,51546,-67.0,13.3
