15:55:20.823 -> Latitude_deg,Longitude_deg,GPS_altitude_MSL_m,Environmental_altitude_m,Linear_acceleration_X_m_s2,Linear_acceleration_Y_m_s2,Linear_acceleration_Z_m_s2,Gyroscope_X_deg_s,Gyroscope_Y_deg_s,Gyroscope_Z_deg_s,Magnetometer_X_uT,Magnetometer_Y_uT,Magnetometer_Z_uT,Quaternion_I,Quaternion_J,Quaternion_K,Quaternion_Real,Temperature_degC,Pressure_hPa,Humidity_percentRH,Packet_counter,CSID,Cell_percentage_percent,Sensor_validity_bitmask,Linear_acceleration_valid,Gyroscope_valid,Magnetometer_valid,Quaternion_valid,GPS_valid,State_of_charge_valid,Environmental_valid,All_data_fresh,Received_CRC16_decimal,RSSI_dBm,SNR_dB
16:15:03.023 -> 0.0000000,0.0000000,-17.000,253.29,0.00,0.00,0.00,0.0,0.0,0.0,2.1,20.1,24.9,0.00000,0.00000,0.00000,1.00000,36.08,983.2,22.41,0,7,60.5,103,1,1,1,0,0,1,1,0,64846,-51.0,13.0
16:15:15.013 -> 0.0000000,0.0000000,-17.000,245.76,-0.02,0.00,0.00,0.0,0.0,0.0,21.9,210.8,-390.6,0.02765,-0.00702,0.72961,0.68328,27.68,984.1,41.07,35,2,55.5,111,1,1,1,1,0,1,1,0,37932,-63.0,11.0
16:15:18.988 -> 0.0000000,0.0000000,-17.000,253.17,0.00,0.00,0.00,0.0,0.0,0.0,2.1,20.1,24.9,0.00964,-0.01520,0.03259,0.99933,36.72,983.2,21.83,0,7,61.0,111,1,1,1,1,0,1,1,0,1515,-51.0,12.8
16:15:25.015 -> 0.0000000,0.0000000,-17.000,253.28,0.00,0.00,0.00,0.0,0.0,0.0,2.1,20.1,24.9,0.00964,-0.01520,0.03265,0.99933,36.41,983.2,22.01,0,7,61.0,111,1,1,1,1,0,1,1,0,16238,-51.0,12.8
16:15:45.985 -> 0.0000000,0.0000000,-17.000,246.15,-0.02,0.00,0.00,0.0,0.0,0.0,22.3,210.0,-390.1,0.02765,-0.00696,0.72887,0.68401,27.68,984.0,41.10,36,2,55.5,111,1,1,1,1,0,1,1,0,63859,-65.0,11.5
16:15:54.996 -> 0.0000000,0.0000000,-17.000,253.55,0.00,0.00,0.00,0.0,0.0,0.0,2.1,20.1,24.9,0.00000,0.00000,0.00000,1.00000,36.37,983.2,22.15,0,7,61.5,103,1,1,1,0,0,1,1,0,18273,-51.0,13.0
16:16:16.995 -> 0.0000000,0.0000000,-17.000,246.13,-0.02,0.00,0.00,0.0,0.0,0.0,23.8,210.0,-391.3,0.02747,-0.00708,0.72857,0.68438,27.67,984.0,41.12,37,2,55.5,111,1,1,1,1,0,1,1,0,12622,-65.0,10.5
16:16:25.786 -> 0.0000000,0.0000000,-17.000,253.58,0.00,0.00,0.00,0.0,0.0,0.0,2.1,20.1,24.9,0.00964,-0.01520,0.03272,0.99933,36.03,983.2,22.39,0,7,61.5,111,1,1,1,1,0,1,1,0,22565,-51.0,12.5
16:16:36.982 -> 0.0000000,0.0000000,-17.000,253.38,0.00,0.01,0.00,0.0,0.0,0.0,2.1,20.1,24.9,0.00000,0.00000,0.00000,1.00000,35.84,983.2,22.60,0,7,61.5,103,1,1,1,0,0,1,1,0,3026,-51.0,13.0
16:16:51.797 -> 0.0000000,0.0000000,-17.000,253.66,0.00,0.00,0.01,0.0,0.0,0.0,2.1,20.1,24.9,0.00964,-0.01520,0.03272,0.99933,35.98,983.2,22.55,0,7,62.0,111,1,1,1,1,0,1,1,0,7804,-51.0,13.0
