21:14:42.321 -> Latitude_deg,Longitude_deg,GPS_altitude_MSL_m,Environmental_altitude_m,Linear_acceleration_X_m_s2,Linear_acceleration_Y_m_s2,Linear_acceleration_Z_m_s2,Gyroscope_X_deg_s,Gyroscope_Y_deg_s,Gyroscope_Z_deg_s,Magnetometer_X_uT,Magnetometer_Y_uT,Magnetometer_Z_uT,Quaternion_I,Quaternion_J,Quaternion_K,Quaternion_Real,Temperature_degC,Pressure_hPa,Humidity_percentRH,Packet_counter,CSID,Cell_percentage_percent,Sensor_validity_bitmask,Linear_acceleration_valid,Gyroscope_valid,Magnetometer_valid,Quaternion_valid,GPS_valid,State_of_charge_valid,Environmental_valid,All_data_fresh,Received_CRC16_decimal,RSSI_dBm,SNR_dB
21:18:12.276 -> 0.0000000,0.0000000,-17.000,261.81,0.00,0.00,0.00,0.0,0.0,0.0,78.1,-17.6,-138.1,-0.01135,0.00391,0.79192,0.61052,26.79,982.2,38.31,19,6,60.5,111,1,1,1,1,0,1,1,0,4781,-62.0,13.0
21:18:22.294 -> 0.0000000,0.0000000,-17.000,261.94,-0.02,0.00,0.00,0.0,0.0,0.1,78.1,-17.9,-139.3,-0.01154,0.00378,0.79192,0.61046,26.73,982.2,38.36,20,6,60.5,111,1,1,1,1,0,1,1,0,17006,-62.0,13.0
21:18:35.310 -> 0.0000000,0.0000000,-17.000,261.83,-0.01,0.00,-0.01,0.0,0.0,0.0,78.5,-17.2,-137.7,-0.01154,0.00378,0.79192,0.61046,26.74,982.2,38.40,21,6,60.5,111,1,1,1,1,0,1,1,0,28048,-62.0,13.3
21:18:45.334 -> 0.0000000,0.0000000,-17.000,261.77,0.00,0.00,0.00,-0.1,0.0,-0.1,77.8,-16.5,-139.3,-0.01160,0.00385,0.79095,0.61174,26.69,982.2,38.45,22,6,60.5,111,1,1,1,1,0,1,1,0,38263,-62.0,13.0
21:18:58.349 -> 0.0000000,0.0000000,-17.000,262.07,0.00,0.00,0.00,0.0,0.0,0.0,77.4,-16.9,-138.4,-0.01154,0.00385,0.78668,0.61724,26.68,982.2,38.51,23,6,60.5,111,1,1,1,1,0,1,1,0,8144,-63.0,13.0
21:19:08.364 -> 0.0000000,0.0000000,-17.000,261.89,0.00,0.00,0.00,0.0,0.0,0.0,78.1,-17.2,-138.8,-0.01172,0.00397,0.78668,0.61724,26.65,982.2,38.50,24,6,60.5,111,1,1,1,1,0,1,1,0,23477,-62.0,13.3
21:19:21.380 -> 0.0000000,0.0000000,-17.000,262.29,-0.02,0.00,0.00,0.0,0.0,0.0,77.8,-16.5,-138.8,-0.01172,0.00397,0.78668,0.61724,26.60,982.1,38.59,25,6,60.5,111,1,1,1,1,0,1,1,0,34411,-62.0,13.3
21:19:31.401 -> 0.0000000,0.0000000,-17.000,262.14,-0.01,0.00,0.00,0.0,0.0,0.0,78.1,-17.9,-137.9,-0.01129,0.00360,0.79009,0.61284,26.59,982.2,38.60,26,6,60.5,111,1,1,1,1,0,1,1,0,21980,-62.0,13.0
21:19:44.417 -> 0.0000000,0.0000000,-17.000,262.27,0.03,0.00,0.00,0.0,0.0,0.0,78.9,-17.6,-139.1,-0.01141,0.00378,0.78558,0.61864,26.58,982.1,38.65,27,6,60.0,111,1,1,1,1,0,1,1,0,29564,-62.0,13.3
21:19:54.431 -> 0.0000000,0.0000000,-17.000,262.19,-0.02,0.00,0.00,0.0,0.0,0.0,78.9,-16.5,-138.3,-0.01141,0.00385,0.78558,0.61864,26.55,982.2,38.67,28,6,60.0,111,1,1,1,1,0,1,1,0,12428,-62.0,13.0
21:20:05.451 -> 0.0000000,0.0000000,-17.000,262.25,0.03,0.00,0.00,0.1,0.0,0.0,79.3,-18.3,-139.9,-0.01111,0.00348,0.78796,0.61559,26.55,982.1,38.70,29,6,60.0,111,1,1,1,1,0,1,1,0,19531,-62.0,13.3
21:20:15.463 -> 0.0000000,0.0000000,-17.000,262.04,-0.01,-0.01,0.00,0.0,0.0,0.1,79.6,-17.2,-138.3,-0.01141,0.00378,0.78802,0.61553,26.54,982.2,38.69,30,6,60.0,111,1,1,1,1,0,1,1,0,23503,-62.0,13.0
21:20:25.476 -> 0.0000000,0.0000000,-17.000,262.30,-0.01,-0.01,0.00,0.0,0.0,0.0,78.1,-17.6,-139.1,-0.01147,0.00397,0.78759,0.61608,26.53,982.1,38.69,31,6,60.0,111,1,1,1,1,0,1,1,0,20658,-62.0,13.0
21:20:35.491 -> 0.0000000,0.0000000,-17.000,262.19,-0.02,0.00,0.00,0.1,0.0,0.1,78.5,-17.6,-138.3,-0.01141,0.00397,0.78759,0.61602,26.48,982.2,38.77,32,6,60.0,111,1,1,1,1,0,1,1,0,36508,-62.0,13.5
21:20:45.508 -> 0.0000000,0.0000000,-17.000,261.75,-0.02,0.01,0.00,-0.1,-0.1,0.1,78.9,-16.9,-136.7,-0.01147,0.00342,0.78838,0.61504,26.50,982.2,38.81,33,6,60.0,111,1,1,1,1,0,1,1,0,41158,-62.0,13.3
21:20:55.524 -> 0.0000000,0.0000000,-17.000,262.18,-0.01,0.00,0.00,0.1,0.0,0.0,77.8,-17.6,-138.6,-0.01141,0.00354,0.78845,0.61498,26.48,982.2,38.83,34,6,60.0,111,1,1,1,1,0,1,1,0,33338,-62.0,13.3
21:21:08.544 -> 0.0000000,0.0000000,-17.000,261.92,-0.03,0.00,0.00,0.1,0.0,0.1,78.5,-17.2,-137.9,-0.01129,0.00348,0.78582,0.61827,26.50,982.2,38.83,35,6,60.0,111,1,1,1,1,0,1,1,0,43116,-62.0,13.8
21:21:18.562 -> 0.0000000,0.0000000,-17.000,262.13,-0.01,0.00,0.00,0.0,0.0,0.0,78.9,-16.9,-137.4,-0.01123,0.00378,0.78143,0.62389,26.48,982.2,38.79,36,6,60.0,111,1,1,1,1,0,1,1,0,60474,-62.0,13.8
21:21:28.609 -> 0.0000000,0.0000000,-17.000,262.17,-0.02,0.00,0.00,0.0,0.0,0.0,78.1,-17.6,-137.9,-0.01111,0.00366,0.78411,0.62047,26.50,982.2,38.79,37,6,60.0,111,1,1,1,1,0,1,1,0,63599,-64.0,13.0
21:21:38.606 -> 0.0000000,0.0000000,-17.000,261.96,0.00,0.00,0.00,0.0,0.0,-0.1,79.3,-16.9,-136.7,-0.01172,0.00415,0.78222,0.62285,26.55,982.2,39.05,38,6,60.0,111,1,1,1,1,0,1,1,0,3184,-64.0,12.5
21:21:48.621 -> 0.0000000,0.0000000,-17.000,262.12,0.02,0.00,-0.01,0.0,0.0,0.0,77.8,-17.6,-138.3,-0.01172,0.00415,0.78216,0.62291,26.56,982.2,39.50,39,6,60.0,111,1,1,1,1,0,1,1,0,65100,-62.0,13.5
21:21:58.629 -> 0.0000000,0.0000000,-17.000,262.12,-0.01,0.00,0.00,0.0,0.0,0.0,78.9,-17.9,-137.9,-0.01141,0.00397,0.78710,0.61669,26.60,982.2,39.10,40,6,60.0,111,1,1,1,1,0,1,1,0,60644,-62.0,13.3
21:22:08.648 -> 0.0000000,0.0000000,-17.000,262.37,-0.02,0.01,0.00,-0.1,-0.1,0.1,78.5,-17.6,-138.3,-0.01141,0.00397,0.78716,0.61663,26.62,982.1,38.97,41,6,60.0,111,1,1,1,1,0,1,1,0,21196,-63.0,13.5
21:22:21.662 -> 0.0000000,0.0000000,-17.000,262.39,0.02,0.00,0.00,0.1,0.0,0.0,78.5,-18.7,-138.7,-0.01141,0.00397,0.78716,0.61663,26.55,982.1,38.82,42,6,60.0,111,1,1,1,1,0,1,1,0,41306,-62.0,13.0
21:22:31.680 -> 0.0000000,0.0000000,-17.000,262.23,-0.01,0.01,0.00,-0.1,0.0,0.0,77.8,-16.9,-139.8,-0.01044,0.00317,0.78436,0.62023,26.52,982.1,38.84,43,6,60.0,111,1,1,1,1,0,1,1,0,61444,-61.0,10.3
21:22:44.694 -> 0.0000000,0.0000000,-17.000,262.23,-0.01,0.00,0.00,0.1,0.0,0.0,-4.4,-42.2,-93.0,-0.01044,0.00317,0.78436,0.62023,26.61,982.1,39.89,44,6,60.0,111,1,1,1,1,0,1,1,0,41607,-53.0,13.3
21:22:54.708 -> 0.0000000,0.0000000,-17.000,262.27,0.04,0.00,0.00,0.0,0.0,0.0,-2.9,-42.6,-91.4,0.00629,0.00629,-0.99890,0.04621,26.62,982.1,39.20,45,6,59.5,111,1,1,1,1,0,1,1,0,33991,-53.0,13.3
21:23:04.726 -> 0.0000000,0.0000000,-17.000,262.13,0.00,0.00,0.00,0.0,0.0,0.0,-4.8,-41.1,-90.2,0.00763,0.00623,-0.99896,0.04480,26.62,982.2,38.87,46,6,59.5,111,1,1,1,1,0,1,1,0,60903,-53.0,13.0
21:23:14.747 -> 0.0000000,0.0000000,-17.000,262.16,0.00,0.00,0.00,0.0,0.0,0.0,-3.6,-42.6,-92.2,0.00757,0.00629,-0.99896,0.04480,26.60,982.2,38.79,47,6,59.5,111,1,1,1,1,0,1,1,0,51040,-54.0,13.5
21:23:27.760 -> 0.0000000,0.0000000,-17.000,262.18,0.00,0.00,0.00,0.0,0.0,0.0,-4.4,-42.6,-92.6,0.00757,0.00629,-0.99896,0.04480,26.58,982.2,38.79,48,6,59.5,111,1,1,1,1,0,1,1,0,23695,-53.0,13.0
21:23:37.776 -> 0.0000000,0.0000000,-17.000,262.42,-0.01,0.01,0.00,-0.2,0.1,0.0,-4.0,-42.9,-92.6,0.00775,0.00629,-0.99908,0.04114,26.64,982.1,38.73,49,6,59.5,111,1,1,1,1,0,1,1,0,21717,-53.0,12.8
21:23:47.793 -> 0.0000000,0.0000000,-17.000,262.54,0.00,0.00,0.00,0.0,0.0,0.0,-4.4,-42.2,-90.6,0.00775,0.00647,-0.99872,0.04938,26.65,982.1,38.67,50,6,59.5,111,1,1,1,1,0,1,1,0,637,-54.0,13.0
21:23:57.810 -> 0.0000000,0.0000000,-17.000,262.16,0.00,0.00,-0.01,0.0,0.0,0.0,-3.6,-42.2,-91.8,0.00696,0.00641,-0.99902,0.04352,26.65,982.2,38.70,51,6,59.5,111,1,1,1,1,0,1,1,0,16496,-53.0,13.3
21:24:07.829 -> 0.0000000,0.0000000,-17.000,262.31,0.00,0.00,0.00,-0.1,-0.1,0.0,-5.1,-42.6,-91.4,0.00769,0.00653,-0.99872,0.04944,26.66,982.1,38.65,52,6,59.5,111,1,1,1,1,0,1,1,0,2093,-53.0,13.3
21:24:17.843 -> 0.0000000,0.0000000,-17.000,262.03,0.00,0.00,0.00,0.0,0.0,0.0,-5.1,-42.2,-91.8,0.00745,0.00647,-0.99866,0.05060,26.66,982.2,38.63,53,6,59.0,111,1,1,1,1,0,1,1,0,47675,-54.0,11.0
21:24:28.859 -> 0.0000000,0.0000000,-17.000,262.19,0.01,0.01,0.00,0.0,-0.1,0.0,-4.4,-41.8,-91.0,0.00739,0.00629,-0.99799,0.06262,26.66,982.2,38.76,54,6,59.0,111,1,1,1,1,0,1,1,0,38186,-53.0,12.8
21:24:38.877 -> 0.0000000,0.0000000,-17.000,261.86,0.00,0.00,0.00,0.0,0.0,0.0,-4.4,-42.6,-92.2,0.00781,0.00696,-0.99799,0.06262,26.67,982.2,38.90,55,6,59.0,111,1,1,1,1,0,1,1,0,64429,-52.0,13.0
21:24:51.894 -> 0.0000000,0.0000000,-17.000,261.81,0.00,0.01,0.00,0.0,0.0,0.0,-4.8,-42.9,-92.3,0.00769,0.00641,-0.99896,0.04437,26.66,982.2,38.80,56,6,59.0,111,1,1,1,1,0,1,1,0,12786,-52.0,12.8
21:25:01.911 -> 0.0000000,0.0000000,-17.000,261.89,0.00,0.00,0.00,-0.1,0.0,0.0,-5.1,-41.4,-92.2,0.00745,0.00647,-0.99896,0.04437,26.65,982.2,38.72,57,6,59.0,111,1,1,1,1,0,1,1,0,48375,-52.0,13.0
