Latitude_deg,Longitude_deg,GPS_altitude_MSL_m,Environmental_altitude_m,Linear_acceleration_X_m_s2,Linear_acceleration_Y_m_s2,Linear_acceleration_Z_m_s2,Gyroscope_X_deg_s,Gyroscope_Y_deg_s,Gyroscope_Z_deg_s,Magnetometer_X_uT,Magnetometer_Y_uT,Magnetometer_Z_uT,Quaternion_I,Quaternion_J,Quaternion_K,Quaternion_Real,Temperature_degC,Pressure_hPa,Humidity_percentRH,Packet_counter,CSID,Cell_percentage_percent,Sensor_validity_bitmask,Linear_acceleration_valid,Gyroscope_valid,Magnetometer_valid,Quaternion_valid,GPS_valid,State_of_charge_valid,Environmental_valid,All_data_fresh,Received_CRC16_decimal,RSSI_dBm,SNR_dB
18:41:20.799 -> 0.0000000,0.0000000,-17.000,264.57,0.00,0.00,0.01,0.0,0.0,0.0,29.9,-82.3,31.6,0.14679,0.57463,0.78246,0.18964,26.59,981.9,32.59,16,2,75.5,111,1,1,1,1,0,1,1,0,63038,-60.0,10.5
18:41:33.799 -> 0.0000000,0.0000000,-17.000,264.50,0.00,0.00,0.00,0.0,0.0,0.0,26.9,-83.1,30.8,0.14679,0.57463,0.78246,0.18964,26.55,981.9,32.59,17,2,75.5,111,1,1,1,1,0,1,1,0,65221,-56.0,13.3
18:41:42.811 -> 0.0000000,0.0000000,-17.000,264.52,0.00,0.00,0.00,0.0,0.0,0.0,26.9,-83.8,30.4,0.14686,0.57439,0.78259,0.18976,26.60,981.9,32.75,18,2,75.5,111,1,1,1,1,0,1,1,0,33705,-56.0,10.3
18:41:52.821 -> 0.0000000,0.0000000,-17.000,264.58,0.00,0.00,0.01,-0.1,-0.1,0.1,28.1,-81.9,30.8,0.14380,0.57567,0.78326,0.18537,26.64,981.9,32.88,19,2,75.5,111,1,1,1,1,0,1,1,0,18706,-61.0,11.8
18:42:02.832 -> 0.0000000,0.0000000,-17.000,264.45,0.00,-0.01,-0.03,-0.1,-0.1,0.1,25.1,-82.7,30.4,0.14081,0.57640,0.78436,0.18097,26.65,981.9,33.39,20,2,75.5,111,1,1,1,1,0,1,1,0,20692,-59.0,13.0
18:42:12.842 -> 0.0000000,0.0000000,-17.000,264.40,0.00,-0.01,0.00,0.0,0.0,0.0,25.1,-82.3,31.2,0.14045,0.57616,0.78466,0.18061,26.68,981.9,32.78,21,2,75.5,111,1,1,1,1,0,1,1,0,50567,-60.0,10.5
18:42:22.852 -> 0.0000000,0.0000000,-17.000,264.26,0.00,0.00,0.01,0.0,0.0,0.0,28.8,-81.2,28.8,0.14716,0.57439,0.78253,0.18989,26.63,981.9,32.68,22,2,75.5,111,1,1,1,1,0,1,1,0,34658,-59.0,10.3
18:42:31.864 -> 0.0000000,0.0000000,-17.000,264.10,0.00,-0.01,0.01,0.0,0.0,0.0,26.2,-82.7,30.0,0.14411,0.57524,0.78350,0.18561,26.62,981.9,32.66,23,2,75.5,111,1,1,1,1,0,1,1,0,27161,-59.0,11.3
18:42:41.873 -> 0.0000000,0.0000000,-17.000,264.00,-0.04,0.00,-0.04,0.0,0.0,0.0,28.1,-81.9,30.8,0.14466,0.57518,0.78326,0.18641,26.62,981.9,32.59,24,2,75.5,111,1,1,1,1,0,1,1,0,55414,-59.0,13.5
18:42:51.884 -> 0.0000000,0.0000000,-17.000,264.13,0.00,0.00,0.00,0.0,0.0,0.0,26.9,-83.1,30.4,0.14423,0.57518,0.78350,0.18574,26.60,981.9,32.70,25,2,75.5,111,1,1,1,1,0,1,1,0,9414,-59.0,12.0
18:43:00.897 -> 0.0000000,0.0000000,-17.000,263.96,0.00,0.00,0.01,0.0,0.0,0.0,28.4,-82.3,30.4,0.14661,0.57476,0.78259,0.18909,26.61,981.9,32.67,26,2,75.5,111,1,1,1,1,0,1,1,0,25872,-59.0,11.3
18:43:10.909 -> 0.0000000,0.0000000,-17.000,264.13,-0.04,0.00,0.01,0.0,0.1,0.0,26.2,-81.9,30.8,0.14753,0.57427,0.78234,0.19056,26.65,981.9,32.58,27,2,75.5,111,1,1,1,1,0,1,1,0,44457,-59.0,12.5
18:43:20.921 -> 0.0000000,0.0000000,-17.000,264.10,0.00,0.00,0.00,0.0,0.0,0.0,26.6,-83.4,30.4,0.14478,0.57500,0.78332,0.18671,26.66,981.9,32.56,28,2,75.5,111,1,1,1,1,0,1,1,0,49241,-59.0,11.8
18:43:29.933 -> 0.0000000,0.0000000,-17.000,263.66,0.00,0.00,0.01,0.0,0.0,0.0,28.4,-82.3,30.4,0.13862,0.57665,0.78521,0.17811,26.67,982.0,32.52,29,2,75.5,111,1,1,1,1,0,1,1,0,55317,-59.0,13.3
18:43:39.964 -> 0.0000000,0.0000000,-17.000,263.95,0.00,0.00,0.00,0.0,0.0,0.0,25.1,-82.7,30.4,0.14356,0.57524,0.78375,0.18494,26.68,981.9,32.49,30,2,75.5,111,1,1,1,1,0,1,1,0,45093,-58.0,11.8
18:43:49.954 -> 0.0000000,0.0000000,-17.000,263.78,-0.03,0.00,0.00,-0.1,-0.2,0.0,26.9,-81.2,31.2,0.15650,0.57201,0.77917,0.20283,26.66,982.0,32.42,31,2,75.5,111,1,1,1,1,0,1,1,0,4613,-60.0,11.8
18:43:59.965 -> 0.0000000,0.0000000,-17.000,263.84,0.00,0.00,0.00,0.0,0.0,0.0,27.3,-82.7,30.0,0.14203,0.57585,0.78393,0.18329,26.65,982.0,32.44,32,2,75.5,111,1,1,1,1,0,1,1,0,36818,-61.0,13.3
18:44:09.977 -> 0.0000000,0.0000000,-17.000,263.36,0.00,0.00,0.00,0.0,0.0,0.0,28.1,-83.1,29.6,0.15485,0.57244,0.77984,0.20026,26.67,982.0,32.43,33,2,75.5,111,1,1,1,1,0,1,1,0,21545,-61.0,12.5
